UNIQID	年齡	網路攻擊暴露	網路攻擊行為	政治與公共事務暴露	國民黨溫度	民進黨溫度
r414	21.0	2.8	1.4	2.75	43.0	14.0
r107	23.0	2.6	1.0	2.25	50.0	10.0
r30	24.0	3.8	1.0	1.75	50.0	10.0
r166	30.0	2.4	1.2	3.0	50.0	20.0
r304	35.0	3.6	1.0	3.25	40.0	14.0
r60	33.0	3.0	1.0	1.75	40.0	20.0
r27	37.0	3.0	1.0	3.25	42.0	21.0
r23	32.0	3.0	1.6	3.25	45.0	10.0
r468	34.0	3.2	1.0	2.75	30.0	5.0
r115	33.0	3.0	1.2	2.25	30.0	0.0
r224	41.0	3.2	1.2	2.25	30.0	0.0
r154	38.0	3.4	1.4	3.0	30.0	1.0
r105	39.0	3.2	2.2	3.5	31.0	0.0
r311	46.0	4.0	1.0	3.25	20.0	0.0
r150	56.0	2.8	1.2	3.0	27.0	3.0
r291	61.0	2.4	1.0	2.5	40.0	20.0
r219	59.0	3.0	1.2	2.75	38.0	20.0
r354	50.0	3.8	1.4	3.5	40.0	9.0
r144	55.0	3.2	1.2	3.25	45.0	10.0
r222	46.0	2.2	1.8	3.0	37.0	16.0
