性別_男	年紀_壯年	年紀_中年	年紀_老年	學歷_大學	學歷_研究所以上	學歷_高中職	取消關注他們的粉專或帳號	拒絕觀看他們的發文或影音	在網路上留言或發文指責	其他	因歧視特定國家、種族或性別	因有不同的政治意識型態或價值觀	因不表態支持重要的社會議題	因做出不道德、不正當或不合法行為	因其他	年齡	網路攻擊暴露	網路攻擊行為	政治與公共事務暴露	國民黨溫度	民進黨溫度
1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	52.0	2.4	1.8	2.75	25.0	89.0
0	1	0	0	1	0	0	1	1	1	0	0	0	0	1	0	40.0	3.0	1.4	3.25	28.0	35.0
1	0	0	0	1	0	0	1	1	0	0	1	0	0	1	0	25.0	3.2	2.4	3.0	30.0	55.0
0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	27.0	4.0	1.6	2.5	40.0	40.0
0	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0	42.0	3.4	1.0	2.75	5.0	80.0
1	1	0	0	1	0	0	1	1	0	0	1	1	0	1	0	32.0	4.0	2.6	2.75	20.0	35.0
0	1	0	0	1	0	0	1	1	0	0	0	0	0	1	0	35.0	2.4	1.0	2.5	60.0	60.0
1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	47.0	3.0	1.0	3.0	82.0	33.0
0	0	0	0	1	0	0	1	1	0	0	1	0	0	1	0	22.0	4.0	1.0	3.25	25.0	50.0
0	1	0	0	1	0	0	1	1	0	0	1	0	0	1	0	43.0	3.2	1.2	3.0	17.0	20.0
1	1	0	0	1	0	0	1	0	1	0	0	1	1	1	0	36.0	3.4	3.2	3.25	0.0	0.0
0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	48.0	3.2	1.0	3.5	55.0	1.0
0	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	34.0	2.8	1.2	3.0	40.0	40.0
1	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	55.0	3.2	1.4	3.0	50.0	45.0
0	1	0	0	1	0	0	1	1	0	0	1	0	0	1	0	35.0	4.0	1.0	3.5	40.0	60.0
0	0	0	0	1	0	0	1	0	0	0	1	1	0	1	0	24.0	3.2	1.4	2.75	50.0	40.0
0	1	0	0	1	0	0	0	1	0	0	0	1	0	1	0	39.0	2.6	1.4	2.75	0.0	80.0
1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	56.0	4.0	1.0	2.75	50.0	50.0
1	0	0	0	1	0	0	1	0	1	0	0	1	1	1	0	26.0	3.4	3.4	3.5	100.0	0.0
0	0	1	0	0	0	1	1	1	0	0	1	1	1	1	0	49.0	3.6	2.0	4.0	0.0	70.0
0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	34.0	3.0	1.0	2.25	66.0	52.0
